ProduceItemID,Item:,,VendorID,Vendor Name:
1,apples cortland,,1,4-M Fruit
455,poultry mix 3 pkg,,2,American Fruit
10018,Fla Honey Bell 48ct,,3,Arrow Farms
10021,Orange Honey Bell,,4,B + R Produce
10100,potatoes yam jap,,5,BC Produce
10101,sd,,1001,Cerasuolo
10102,lettuce olivia's power green,,1002,Community
10110,anise,,1003,Condakes
10111,Arugula Baby,,1004,Cooseman
10130,Artichokes,,1005,D'Arrigo Bros
10131,Artichokes Baby,,1006,Dziama
10132,Sunchokes,,1007,Eaton&Eustis
10133,Jerusalan Chokes,,1008,Forlizzi
10140,Asparagus,,1009,Garden Fresh
10141,Asparagus Jumbo,,1010,Gold Bell
10155,Asparagus Purple,,1011,Maheras
10160,Asparagus White,,1012,Mutual Produce
10170,Beans Fava,,1013,Silk
10180,Beans Flat,,1014,Strock
10190,Beans Green,,1015,Tavilla
10200,Beans Cranberry Shell,,1024,Wilson Farms
10210,Beans Wax,,1025,Tourtellot
10215,Beans Sea,,1026,Boston Tomato
10220,Beets Bunch,,1027,State Garden
10221,Beets Golden 25#,,1028,M&J
10222,Beets Red Bulk,,1029,Travis Fruit
10223,Beets Candy,,1030,Delmonte
10230,Bok Choy,,1031,zz
10250,Braising Greens,,1032,Lisitano
10260,Broccoli Crowns,,1033,Cutone
10261,Broccolini,,1034,Bonafede
10280,Brussels Sprouts 25#,,1035,tom
10283,Brussels Sprouts Baby,,1036,MamaMia
10285,Brussels Sprouts Cups,,1037,"Bozzuto,s"
10288,Brite Lites,,1038,Scott@Allen
10290,Cabbage Green,,1039,Granstaton
10291,Cabbage Bag,,1040,DiSilva
10300,Cabbage Red,,1041,Listano
10310,Cabbage Savoy,,1042,Matarazzo Brothers
10319,Carrots Peeled Slims,,1043,bana
10320,Carrots Baby Peeled,,1044,chelsea creek
10340,Carrots Bunch,,1045,alphas produce
10350,Carrot Cello 1#/48ct,,,
10360,Carrots Cut 50#,,,
10370,Cauliflower,,,
10371,Cauliflower Green,,,
10378,Celeriac (Celery Root),,,
10379,Celeriac Diced,,,
10380,Celery 24ct,,,
10381,Celery 30ct,,,
10382,Celery Hearts,,,
10385,Chestnuts,,,
10388,Celantro,,,
10390,Chickory,,,
10400,Cilantro,,,
10403,Collard Greens,,,
10405,Corn Decorative,,,
10410,Corn 44ct,,,
10412,Corn Cleaned and Shucked,,,
10420,Cukes Seedless English,,,
10430,Cukes Dill,,,
10440,Cukes Select,,,
10449,Cuke Slicer 36ct org,,,
10450,Cukes Super Select,,,
10452,Cukes Perisian,,,
10455,Daikon Root 5#,,,
10457,Dandelion Greens,,,
10460,Eggplant,,,
10461,Eggplant Japanese,,,
10470,Eggplant Italian,,,
10471,Eggplant Thai,,,
10480,Endive Belgium,,,
10490,Escarole,,,
10491,Flowers Edable 50ct,,,
10492,Flowers Panzee,,,
10495,Fiddlehead Ferns,,,
10497,Galanga Root,,,
10500,Garlic 30#,,,
10505,Garlic Spring,,,
10507,Garlic Scapes,,,
10510,Garlic Chopped/Oil,,,
10520,Garlic Elephant,,,
10530,Garlic Peeled 4-5lb,,,
10535,Gourds Decorative,,,
10536,Jicama 20#,,,
10539,Kumguots 10#,,,
10540,Kale,,,
10542,Kale Tuscan,,,
10545,kale baby,,,
10550,Kale Flowering,,,
10555,Kohl Rabi,,,
10560,Leeks,,,
10561,Ramps Wild Leeks,,,
10569,Farming Turtles Flat Peas,,,
10570,Farming Turtles Rainbow,,,
10571,Farming Turtles,,,
10580,Lettuce Boston 24ct,,,
10582,Lettuce Artison,,,
10585,Lettuce Boston Hydro,,,
10588,Lettuce Olivis Spin 9oz,,,
10589,beans french retail,,,
10590,Lettuce Frisee,,,
10591,Lettuce OliviasBaby Lettuce,,,
10592,Lettuce Olivia Kale,,,
10593,Lettuce Olivia's Arugula,,,
10594,Lettuce olivia Spring Mix,,,
10595,Lettuce Olivias Spinach,,,
10596,Lettuce Olivia's Baby Romaine,,,
10597,Lettuce Olivia's 5050,,,
10598,Lettuce Olivia's Herb Salad,,,
10600,Lettuce Green Leaf,,,
10601,Lettuce Green Leaf Filets,,,
10610,Lettuce naked 24ct,,,
10613,Lettuce Iceberg Baby,,,
10615,Lettuce Iceberg Cello,,,
10618,Lettuce LA Rosa,,,
10619,Lettuce Mache Bulk,,,
10620,Lettuce Mesclun,,,
10621,Lettuce Microgreens Pkg,,,
10622,lettuce Arcadian,,,
10630,Lettuce Red Leaf,,,
10640,Lettuce Romaine,,,
10641,Lettuce Romaine Filets,,,
10660,Lettuce Romaine Hearts,,,
10663,Lettuce Raddichio,,,
10665,Lettuce Trevisano,,,
10670,Mushrooms Button,,,
10680,Mushrooms Cello Whole,,,
10690,Mushrooms Crimini,,,
10699,lettuce Gem,,,
10704,Mushrooms Enoki,,,
10710,Mushrooms Medium,,,
10719,mushroom brown beeche,,,
10730,Mushrooms Silver Dollar,,,
10735,Mushrooms Wild Hedgehog,,,
10736,Mushrooms Chantarelle,,,
10737,Mushrooms Morels,,,
10738,Mushrooms Matsutake,,,
10740,Mushrooms Oyster,,,
10745,Mushrooms Port Caps Pkg,,,
10750,Mushrooms Portabella Bulk,,,
10758,Mushrooms Sliced,,,
10770,Mushrooms Shiitake,,,
10775,Mustard Greens,,,
10790,Nappa Cabbage,,,
10800,Okra,,,
10803,Onions Red Pearl Pkg,,,
10805,Onions Cippolini 1gal,,,
10806,Onions Cippolini Peeled,,,
10807,Onions Pearl Peeled,,,
10808,Onions Red Pearl Peeled,,,
10810,Onions 50#,,,
10815,Onion Chippolini 10#,,,
10820,Onions 2# /24ct,,,
10840,Onions Red Medium,,,
10845,Onions Red Large,,,
10850,Onions Colossal,,,
10860,Onions Spanish,,,
10870,Onions Sweet,,,
10871,Onions Vidalia,,,
10872,Onion Spring Onion,,,
10873,Onion White Spanish,,,
10880,Onions Spanish White,,,
10882,Onions Cello White Pearl,,,
10883,OnionWht Peel Pearl 4/1,,,
10890,Onions White Boilers,,,
10900,Parsnips 25#,,,
10901,Parsnips cello,,,
10910,Peas English,,,
10911,Pea Tendrils Farming Turtles,,,
10920,Peas Snow,,,
10930,Peas Sugar Snap,,,
10933,Pepper Red Fresno,,,
10935,Pepper cherry Hot,,,
10938,Peppers Annaheim,,,
10939,Peppers Chills,,,
10940,Peppers Jumdo Green,,,
10950,Peppers Wholesale,,,
10959,peppers mini,,,
10960,Peppers Cubanelle,,,
10965,Peppers Habanero,,,
10980,Peppers Orange,,,
10985,Peppers Poblano,,,
10990,Peppers Red 11#,,,
10991,Peppers Red 15#,,,
10992,Peppers Red 25#,,,
11020,Pepper Serrano,,,
11040,Potatoes Fingerling,,,
11041,Potatoes Fingerling Red,,,
11042,Pepper Long Hot,,,
11050,Potatoes Bakers 40,,,
11070,Potatoes Bakers 70,,,
11080,Potatoes Bakers 80,,,
11090,Potatoes Bakers 90,,,
11110,Potatoes Bakers 100,,,
11111,Pot Montanna Chefs,,,
11112,Pot Montana 70ct,,,
11130,Potatoes California,,,
11140,Potatoes 10-5 Eastern,,,
11145,Potatoes 10-5 Idaho,,,
11148,Potatoes 10-5 Red,,,
11150,Potatoes 10-5 Yukons,,,
11170,Potatoes Chefs,,,
11175,Potatoes Purple C,,,
11176,Potatoes Creamer Red,,,
11177,Potatoes Creamer White,,,
11178,Potatoes Creamer Yukon,,,
11190,Potatoes Loose Fries,,,
11200,Potatoes Red A,,,
11201,Potatoes Red A Retail XF,,,
11210,Potatoes Red B,,,
11215,Potatoes Red B Retail XF,,,
11220,Potatoes White Sweet 40#,,,
11221,POTATOES SWEET FINGERLING,,,
11230,Potatoes Yams,,,
11231,Potatoes Yams Jumbo,,,
11232,Potatoes Yams jap,,,
11240,Potatoes Yukon,,,
11245,Potatoes Yukon Retail XF,,,
11246,pot baby yukon 6/24os,,,
11247,pot baby reds 6/24oz,,,
11248,pot baby patriots 6/24oz,,,
11249,Pot Baby Purple 6/oz,,,
11250,Pumpkins Field,,,
11260,Pumpkins Sugar,,,
11265,Pumpkins Mini,,,
11270,Rabe AB 20#,,,
11290,Radishes Bunch,,,
11292,radish watermelon,,,
11300,Radish Cello,,,
11310,Scallions,,,
11320,Shallots 10#/4ct,,,
11330,Shallots Peeled 4/igal,,,
11331,Shallot Jars,,,
11339,Spinach Baby,,,
11340,Spinach Bulk,,,
11350,Spinach Popeye,,,
11360,Spinach Cello,,,
11380,Sprouts Alfalfa Pkg,,,
11410,Sprouts Bean Pkg,,,
11412,Sprouts Brocco,,,
11413,Salsify,,,
11415,Sprouts Radish,,,
11420,Squash Acorn,,,
11421,Squash Acorn White,,,
11423,Squash Delicata,,,
11424,Squash Sweet Dumpling,,,
11425,Squash Carnival,,,
11430,Squash Butternut,,,
11442,Squash Butternut Diced,,,
11445,Squash Chayote,,,
11455,Squash Turban,,,
11456,Squ. Butter Cup,,,
11460,Squash Green,,,
11461,Squash Blossoms,,,
11462,Squash Kuri,,,
11470,Squash Spaghetti,,,
11480,Squash Yellow,,,
11482,Swiss Chard Bright Lights,,,
11485,Swizzle Stix,,,
11502,Taro Root,,,
11505,Tomatillos,,,
11507,Tom Cherub Grape Tom,,,
11510,Tomatoes 5x6,,,
11530,Tomatoes Maine 25#,,,
11531,Tomatoes 6x6,,,
11539,Tomatoes Hot House Flats,,,
11540,Tomatoes 6x7,,,
11541,Tomatoes Cherry Grape,,,
11544,Tomatoes Cherry Vine,,,
11550,Tomatoes Cluster,,,
11553,Tomatoes Red Brandywine,,,
11554,Tomaotes Heirloom Wild Wonder,,,
11555,Tomatoes Mixed Heirloom,,,
11556,Tomatoes Native,,,
11570,Tomatoes Whoppers,,,
11580,Tomatoes Plum,,,
11581,Tomatoes Zebra 12/8oz,,,
11582,Tomatoes Plums 10ct /1#,,,
11585,Tomatoes Imported 22#,,,
11590,Tomatoes Yellow,,,
11600,Tomatoes Yellow Pear,,,
11605,Turnips Baby White,,,
11610,Turnips Purple Top,,,
11620,Turnips White,,,
11630,Turnips Yellow Rutabaga,,,
11631,Turnips Diced,,,
11640,Watercress,,,
11641,Watercress Red,,,
11970,Peppers Jalepeno,,,
11973,Peppers Hungarian Pepper,,,
15100,Beans French,,,
15120,Bok Choy Baby,,,
15125,Carrots Baby Bunch,,,
15130,Carrots Crew Cut,,,
15131,Carrots Crew Cut Tri Color,,,
15150,Eggplant Baby,,,
15250,Squash Baby Zucchini,,,
15300,Squash Baby Pattypan,,,
15350,Squash Sunburst,,,
25320,Lettuce Romaine Chopped,,,
25340,Lettuce Salad Mix,,,
30110,Basil 1lb,,,
30111,Basil wood,,,
30113,Basil Thai,,,
30135,Chervil Bulk,,,
30136,Chervil 3pk,,,
30140,Chives Bulk,,,
30141,Chives 3pk,,,
30142,Bay Leaves 3pk,,,
30150,Basil Opal (Purple),,,
30160,Dill,,,
30180,Ginger Root,,,
30181,Ginger Chopped jars,,,
30200,Horseradish Root 5#,,,
30210,Lemongrass,,,
30220,Marjoram Bulk,,,
30221,Marjorum 3pk,,,
30240,Mint,,,
30260,Oregano Bulk,,,
30261,Oregano 3pk,,,
30265,Mint 3 pkg,,,
30280,Parsley Curly,,,
30300,Parsley Plain,,,
30320,Rosemary Bulk,,,
30321,Rosemary 3pk,,,
30340,Sage Bulk,,,
30341,Sage 3pk,,,
30345,Sorrel,,,
30360,Tarragon Bulk,,,
30361,Tarragon 3pk,,,
30370,tofu,,,
30380,Thyme Bulk,,,
30381,Thyme 3pk,,,
40100,kale lollipop,,,
40105,potatoes tri color marble,,,
40110,beets chioigga,,,
40120,beets choigga,,,
40130,beet bunch gold,,,
40160,peppers mixed hot,,,
40169,eggplant graffiti,,,
40170,watermelon mini,,,
40190,Apples Gold Del,,,
40191,root tumeric,,,
40220,Granny 100ct,,,
40221,Apples Granny,,,
40230,Apples Honeycrisp,,,
40240,Apples Macoun,,,
40279,Apples jazz,,,
40280,Apples Macintosh,,,
40281,Apples gala,,,
40290,Apples Pink Lady,,,
40300,Apples Red Del,,,
40305,Apples fuji,,,
40310,apples Envy,,,
40311,apples Cosmic,,,
40340,Apricots,,,
40342,Apricots Black,,,
40350,Avocados 48ct,,,
40358,Banana Leaves,,,
40360,Bananas 40lb,,,
40370,Bananas Petite,,,
40380,Blackberries,,,
40390,Blueberries,,,
40420,Cherries,,,
40421,Cherries Ranier,,,
40430,Oranges Mandarins,,,
40440,Clementines,,,
40450,Coconuts,,,
40460,Cranberries Cello,,,
40465,Dates Medjool,,,
40470,Dragon Fruit,,,
40480,Figs Fresh,,,
40500,Grapefruit Pink 32ct,,,
40510,Grapefruit Ruby Red,,,
40511,Grapefruit White,,,
40528,Grapes Chapagne,,,
40530,Grapes Concord,,,
40538,Grapes Red Globe Seeded,,,
40540,Grpaes Green Seedless,,,
40560,Grapes Red Seedless,,,
40565,Grapes Black Seedless,,,
40570,Guava Fruit,,,
40580,Kiwi Gold,,,
40582,Kiwi,,,
40583,Kim Chee 12ct,,,
40590,Lemons 95ct,,,
40595,Lemons Meyer,,,
40600,Lemons 140ct,,,
40601,Lime Juice,,,
40602,Lemon Juice,,,
40605,orange juice,,,
40625,Lychee Fruit,,,
40630,Limes 36ct,,,
40631,Limes 200ct,,,
40633,Limes Key,,,
40635,Lotus Root,,,
40650,Mangoes Kent,,,
40651,Mangoes Champagne,,,
40680,Melons Lopes,,,
40690,Melons Charentais,,,
40700,Melons Cranshaw,,,
40740,Melons Honeydew,,,
40750,Melons Galia,,,
40760,Melons Orange Flesh,,,
40761,Melons Canary,,,
40770,Watermelon Yellow,,,
40775,Watermelons Cannonball,,,
40780,Watermelon Bin,,,
40800,Nectarines,,,
40805,Nectarines Donuts,,,
40810,Nectarines White,,,
40820,Oranges 113 Navel,,,
40830,Oranges Blood,,,
40833,Oranges Kumquats Bulk,,,
40834,Oranges Kumquats Pints,,,
40840,Oranges Cara Cara,,,
40860,Oranges Navels 56ct,,,
40880,Oranges Fla Juice,,,
40883,Oranges Temples,,,
40890,Papayas Red,,,
40894,Passionfruit,,,
40900,Peaches,,,
40905,Peaches Donuts,,,
40910,Peaches White,,,
40921,Peaches Native,,,
40930,Pears Bartlett,,,
40931,Pears DAnjou,,,
40950,Pears Bosc,,,
40960,Pears Comice,,,
40965,Pears Asian,,,
40989,Persimmons,,,
40990,Persimmons Hachia,,,
40995,Plantains,,,
41000,Pears Red,,,
41030,Pineapples 7ct,,,
41050,Plums Red,,,
41060,Plums Black,,,
41065,Plums Pluots,,,
41070,Plums Prune,,,
41080,Pomegranates,,,
41081,Pomegranate Arils,,,
41085,Quince,,,
41090,Raspberries,,,
41110,Rhubarb,,,
41115,Star Fruit,,,
41120,Strawberries,,,
41121,Strawberries Stem,,,
41122,Strawberries Cal 8-1,,,
41124,Strawberries Driscoll 8-1,,,
41130,Tangelos,,,
41140,Tangerines,,,
60650,Tomatoes Sun Dried Halves,,,
60651,Tomatoes Sun Dried Whole,,,
92650,watermelon radish,,,
99990,Misc Item 1,,,
99991,Misc Item 2,,,
99992,Misc Item 3,,,
99993,Misc Item 4,,,
99994,Misc Item 5,,,
99995,lettuce olivias butter lettuce,,,
99996,affilia cress,,,
99997,lettuce olivias simple beginnings,,,
99998,apples breaburn,,,
99999,Pepper Yellow,,,
109779,peppers shishito,,,